"Name","Age","Team","Win","Loss","Save","Gm","Gs","IP","K","ERA","WHIP","FIP","xFIP","SIERA","K/9","K%","BB/9","BB%","HR/9","HR%","GB%","FB%","GB/FB","IFFB%","OFFB%","AVG","BABIP","LOB%","Soft%","Med%","Hard%","vFB","vFBfx"
"Mat Latos","27.6","3 Teams","4","10","0","24","21","116.1","100","4.95","1.31","3.72","3.69","3.88","7.74","20.2%","2.48","6.5%","1.01","33.0%","43.9%","31.9%","1.380","7.1%","24.8%","0.260","63.8%","0.307","19.4%","47.6%","33.0%","91.5","91.4"
"Colin Rea","25.0","Padres","2","2","0","6","6","31.2","26","4.26","1.26","3.45","3.93","4.13","7.39","19.6%","3.13","8.3%","0.57","36.8%","46.2%","30.1%","1.540","3.6%","26.5%","0.240","65.5%","0.290","8.4%","54.7%","36.8%","91.2","91.1"
"Jeremy Guthrie","36.2","Royals","8","8","0","30","24","148.1","84","5.95","1.55","5.62","5.11","5.02","5.10","12.7%","2.67","6.6%","1.76","30.6%","34.4%","39.8%","0.860","8.3%","31.5%","0.304","69.6%","0.315","18.0%","51.4%","30.6%","91.7","92.0"
"Doug Fister","31.4","Nationals","5","7","1","25","15","103.0","63","4.19","1.40","4.55","4.46","4.47","5.50","14.0%","2.10","5.4%","1.22","29.5%","44.6%","34.1%","1.310","3.4%","30.7%","0.286","72.1%","0.310","17.1%","53.4%","29.5%","86.2","86.4"
"Clay Buchholz","30.9","Red Sox","7","7","0","18","18","113.1","107","3.26","1.21","2.68","3.30","3.35","8.50","22.8%","1.83","4.9%","0.48","23.7%","48.3%","30.5%","1.580","7.9%","22.6%","0.259","70.4%","0.329","19.2%","57.2%","23.7%","92.0","92.1"
"Jason Hammel","32.8","Cubs","10","7","0","31","31","170.2","172","3.74","1.16","3.68","3.47","3.45","9.07","24.2%","2.11","5.6%","1.21","32.7%","38.3%","37.2%","1.030","3.9%","33.3%","0.238","72.8%","0.288","18.7%","48.6%","32.7%","92.3","92.2"
"Marco Gonzales","23.4","Cardinals","0","0","0","1","1","2.2","1","13.50","3.00","8.38","5.72","5.66","3.38","6.3%","3.38","6.3%","3.38","42.9%","35.7%","28.6%","1.250","0.0%","28.6%","0.467","60.6%","0.462","14.3%","42.9%","42.9%","89.4",
"Felix Hernandez","29.2","Mariners","18","9","0","31","31","201.2","191","3.53","1.18","3.72","3.33","3.38","8.52","23.1%","2.59","7.0%","1.03","25.4%","56.2%","26.9%","2.090","7.3%","19.6%","0.237","77.8%","0.288","18.3%","56.3%","25.4%","91.8","92.1"
"Taylor Jungmann","25.5","Brewers","9","8","0","21","21","119.1","107","3.77","1.28","3.92","4.10","4.11","8.07","21.4%","3.54","9.4%","0.83","27.4%","46.3%","33.1%","1.400","7.2%","25.9%","0.238","72.8%","0.290","19.5%","53.1%","27.4%","92.0","91.9"
"Jake Arrieta","29.3","Cubs","22","6","0","33","33","229.0","236","1.77","0.86","2.35","2.61","2.75","9.28","27.1%","1.89","5.5%","0.39","22.2%","56.2%","22.8%","2.470","9.3%","13.5%","0.184","80.0%","0.246","22.9%","54.8%","22.2%","94.6","94.4"
"Trevor Bauer","24.4","Indians","11","12","0","31","30","176.0","170","4.55","1.31","4.33","4.28","4.20","8.69","22.9%","4.04","10.6%","1.18","30.2%","39.2%","40.7%","0.960","13.8%","26.9%","0.230","71.6%","0.276","21.4%","48.4%","30.2%","92.8","92.7"
"Robbie Erlin","24.7","Padres","1","2","0","3","3","17.0","10","4.76","1.06","3.25","3.70","3.94","5.29","15.4%","1.06","3.1%","0.53","36.5%","47.1%","27.5%","1.710","14.3%","13.2%","0.258","56.8%","0.294","19.2%","44.2%","36.5%","90.1","90.1"
"Jeremy Hellickson","28.2","Diamondbacks","9","12","0","27","27","146.0","121","4.62","1.33","4.44","4.16","4.14","7.46","19.0%","2.65","6.8%","1.36","34.1%","42.4%","36.5%","1.160","4.2%","32.3%","0.257","71.5%","0.291","15.9%","50.0%","34.1%","90.1","90.1"
"Homer Bailey","29.2","Reds","0","1","0","2","2","11.1","3","5.56","1.76","7.10","5.36","5.65","2.38","5.9%","3.18","7.8%","2.38","38.6%","52.4%","31.0%","1.690","7.7%","23.3%","0.340","82.3%","0.317","13.6%","47.7%","38.6%","91.1","91.0"
"Lance McCullers","21.7","Astros","6","7","0","22","22","125.2","129","3.22","1.19","3.26","3.50","3.57","9.24","24.8%","3.08","8.3%","0.72","28.9%","46.5%","31.8%","1.460","9.3%","22.5%","0.225","75.0%","0.288","21.0%","50.1%","28.9%","94.5","94.2"
"Chad Billingsley","30.9","Phillies","2","3","0","7","7","37.0","15","5.84","1.65","4.81","4.77","5.04","3.65","9.1%","1.95","4.9%","1.22","29.8%","45.3%","31.4%","1.440","7.0%","24.4%","0.340","65.5%","0.353","19.1%","51.1%","29.8%","90.7","91.0"
"Michael Pineda","26.4","Yankees","12","10","0","27","27","160.2","156","4.37","1.23","3.34","2.95","3.09","8.74","23.4%","1.18","3.1%","1.18","29.7%","48.2%","29.9%","1.620","9.1%","20.8%","0.273","68.6%","0.332","17.8%","52.5%","29.7%","92.8","92.5"
"Tim Lincecum","31.0","Giants","7","4","0","15","15","76.1","60","4.13","1.48","4.29","4.64","4.82","7.07","18.0%","4.48","11.4%","0.83","34.6%","44.3%","35.1%","1.260","6.3%","28.8%","0.255","73.9%","0.300","18.4%","47.0%","34.6%","87.2","87.5"
"Charlie Morton","31.6","Pirates","9","9","0","23","23","129.0","96","4.81","1.38","4.19","3.87","3.89","6.70","17.1%","2.86","7.3%","0.91","30.9%","57.3%","21.5%","2.670","9.2%","12.3%","0.269","65.8%","0.309","21.5%","47.6%","30.9%","92.0","92.1"
"Tyler Duffey","24.5","Twins","5","1","0","10","10","58.0","53","3.10","1.31","3.24","3.64","3.83","8.22","21.9%","3.10","8.3%","0.62","24.9%","49.7%","30.9%","1.610","7.8%","23.1%","0.252","79.6%","0.315","15.4%","59.8%","24.9%","90.2","90.5"
"Edinson Volquez","32.0","Royals","13","9","0","34","33","200.1","155","3.55","1.31","3.82","4.26","4.35","6.96","18.2%","3.23","8.5%","0.72","30.4%","46.0%","32.9%","1.400","5.0%","27.9%","0.247","73.1%","0.290","15.9%","53.7%","30.4%","93.7","93.8"
"Jose Fernandez","22.9","Marlins","6","1","0","11","11","64.2","79","2.92","1.16","2.24","2.62","2.77","10.99","29.8%","1.95","5.3%","0.56","29.4%","40.1%","31.1%","1.290","7.7%","23.4%","0.245","78.4%","0.343","18.2%","52.4%","29.4%","95.8","95.9"
"Johnny Cueto","29.4","2 Teams","11","13","0","32","32","212.0","176","3.44","1.13","3.53","3.78","3.81","7.47","20.3%","1.95","5.3%","0.89","28.5%","42.5%","35.6%","1.190","12.2%","23.4%","0.239","73.7%","0.281","19.8%","51.7%","28.5%","92.5","92.2"
"Gio Gonzalez","29.8","Nationals","11","8","0","31","31","175.2","169","3.79","1.42","3.05","3.59","3.77","8.66","22.3%","3.54","9.1%","0.41","28.5%","53.8%","26.6%","2.020","4.4%","22.2%","0.264","72.1%","0.341","18.8%","52.7%","28.5%","92.0","92.2"
"James Shields","33.5","Padres","13","7","0","33","33","202.1","216","3.91","1.33","4.45","3.70","3.73","9.61","25.1%","3.60","9.4%","1.47","31.2%","44.9%","34.4%","1.300","10.2%","24.2%","0.245","79.9%","0.299","17.1%","51.6%","31.2%","91.0","91.1"
"Chris Tillman","27.2","Orioles","11","11","0","31","31","173.0","120","4.99","1.39","4.45","4.58","4.69","6.24","16.2%","3.33","8.6%","1.04","26.5%","43.5%","35.4%","1.230","13.5%","21.9%","0.262","68.2%","0.293","18.9%","54.6%","26.5%","91.5","91.5"
